Date,Demand (MW)
2025/01/01,3857
2025/01/02,3873
2025/01/03,3062
2025/01/04,3798
2025/01/05,4031
2025/01/06,3996
2025/01/07,3944
2025/01/08,3918
2025/01/09,3938
2025/01/10,3016
2025/01/11,3722
2025/01/12,3927
2025/01/13,3747
2025/01/14,4004
2025/01/15,3932
2025/01/16,3977
2025/01/17,3103
2025/01/18,3936
2025/01/19,3909
2025/01/20,3997
2025/01/21,3968
2025/01/22,3944
2025/01/23,3938
2025/01/24,3104
2025/01/25,3884
2025/01/26,3935
2025/01/27,3975
2025/01/28,4039
2025/01/29,3989
2025/01/30,3987
2025/01/31,3268
2025/02/01,3997
2025/02/02,3857
2025/02/03,3991
2025/02/04,4185
2025/02/05,4193
2025/02/06,4240
2025/02/07,3253
2025/02/08,4024
2025/02/09,3999
2025/02/10,4135
2025/02/11,4171
2025/02/12,4373
2025/02/13,4381
2025/02/14,4265
2025/02/15,3288
2025/02/16,4154
2025/02/17,4430
2025/02/18,4517
2025/02/19,4523
2025/02/20,4522
2025/02/21,3506
2025/02/22,3274
2025/02/23,4368
2025/02/24,4552
2025/02/25,4692
2025/02/26,4626
2025/02/27,4606
2025/02/28,3962
2025/03/01,4870
2025/03/02,4517
2025/03/03,4423
2025/03/04,4486
2025/03/05,4525
2025/03/06,4415
2025/03/07,3767
2025/03/08,4428
2025/03/09,4658
2025/03/10,4772
2025/03/11,4879
2025/03/12,4939
2025/03/13,5243
2025/03/14,4825
2025/03/15,5384
2025/03/16,5268
2025/03/17,5116
2025/03/18,5172
2025/03/19,5315
2025/03/20,4963
2025/03/21,4343
2025/03/22,4525
2025/03/23,4740
2025/03/24,4697
2025/03/25,4870
2025/03/26,4743
2025/03/27,4850
2025/03/28,4617
2025/03/29,4254
2025/03/30,3593
2025/03/31,3205
2025/04/01,3119
2025/04/02,3165
2025/04/03,3277
2025/04/04,3470
2025/04/05,3079
2025/04/06,4548
2025/04/07,4537
2025/04/08,4937
2025/04/09,5206
2025/04/10,4317
2025/04/11,4636
2025/04/12,5191
2025/04/13,5297
2025/04/14,4812
2025/04/15,5567
2025/04/16,4355
2025/04/17,4644
2025/04/18,4287
2025/04/19,5149
2025/04/20,5551
2025/04/21,5481
2025/04/22,5755
2025/04/23,5872
2025/04/24,5877
2025/04/25,5248
2025/04/26,5573
2025/04/27,5809
2025/04/28,4787
2025/04/29,5129
2025/04/30,5214
2025/05/01,3955
2025/05/02,4534
2025/05/03,5028
2025/05/04,5355
2025/05/05,5673
2025/05/06,5436
2025/05/07,5614
2025/05/08,5677
2025/05/09,5393
2025/05/10,5878
2025/05/11,5341
2025/05/12,5609
2025/05/13,5704
2025/05/14,5562
2025/05/15,5537
2025/05/16,4746
2025/05/17,5298
2025/05/18,5656
