cpcb_time,air_humidity,air_pressure,air_temp,air_wind_direction,air_wind_speed,aqi_cn,aqi_us,bod,cl,clouds,cod,depth,do,ec,feels_like,grnd_level,humidity,nitrate,ph,pressure,s,sea_level,temp_max,temp_min,temperature,toc,wind_deg,wind_gust,wind_speed,wt,wtb,row_id
2025-09-16 21:00:00,90.0,1008.0,24.0,201.0,0.8,51.0,101.0,2.34,25.37,100.0,9.97,0.97,6.96,332.13,25.43,958.0,91.0,0.3,8.16,1008.0,308.55,1008.0,24.54,24.54,24.54,4.76,229.0,1.04,0.92,30.52,142.21,1
2025-09-16 22:00:00,92.0,1008.0,24.0,225.0,1.17,51.0,101.0,2.36,25.63,100.0,9.96,0.96,6.97,336.56,25.24,957.0,92.0,0.3,8.11,1008.0,308.57,1008.0,24.35,24.35,24.35,4.53,249.0,1.47,1.1,30.61,148.68,2
2025-09-16 23:00:00,92.0,1008.0,24.0,241.0,1.33,54.0,108.0,2.4,25.9,100.0,9.85,0.98,6.93,334.7,25.73,957.0,89.0,0.3,8.2,1007.0,308.55,1007.0,24.86,24.86,24.86,4.89,222.0,1.87,1.47,29.97,147.53,3
2025-09-17 00:00:00,90.0,1007.0,24.0,223.0,1.66,54.0,108.0,2.4,25.07,100.0,9.8,0.99,6.97,337.97,25.78,956.0,90.0,0.3,8.12,1006.0,308.57,1006.0,24.89,24.89,24.89,4.79,218.0,1.88,1.31,29.97,144.67,4
2025-09-17 01:00:00,90.0,1006.0,24.0,218.0,1.56,54.0,108.0,2.46,25.42,100.0,9.79,0.98,6.86,331.41,25.65,956.0,90.0,0.3,8.18,1006.0,308.55,1006.0,24.77,24.77,24.77,4.76,213.0,2.11,1.38,29.88,148.82,5
2025-09-17 02:00:00,90.0,1006.0,24.0,214.0,1.61,54.0,107.0,2.42,25.37,100.0,9.85,0.99,6.9,334.31,25.51,956.0,90.0,0.3,8.1,1006.0,308.57,1006.0,24.64,24.64,24.64,4.69,225.0,1.89,1.36,29.82,141.33,6
2025-09-17 03:00:00,90.0,1006.0,24.0,225.0,1.61,54.0,107.0,2.37,25.53,100.0,9.81,0.97,6.85,332.28,25.19,956.0,90.0,0.3,8.24,1006.0,308.58,1006.0,24.35,24.35,24.35,4.57,222.0,1.28,1.22,29.81,145.13,7
2025-09-17 04:00:00,91.0,1006.0,24.0,221.0,1.41,54.0,107.0,2.4,25.16,100.0,9.93,0.96,6.96,336.74,25.1,957.0,91.0,0.3,8.26,1007.0,308.56,1007.0,24.24,24.24,24.24,4.64,214.0,1.49,1.2,29.79,143.85,8
2025-09-17 05:00:00,91.0,1007.0,24.0,216.0,1.42,50.0,99.0,2.46,25.64,86.0,9.99,0.98,6.93,339.15,25.99,958.0,89.0,0.3,8.21,1008.0,308.55,1008.0,25.1,25.1,25.1,4.77,227.0,1.69,1.17,29.74,146.34,9
2025-09-17 06:00:00,89.0,1008.0,25.0,229.0,1.36,50.0,99.0,2.36,25.52,73.0,9.97,0.96,6.97,330.66,26.31,959.0,81.0,0.3,8.27,1009.0,308.57,1009.0,26.31,26.31,26.31,4.81,227.0,2.25,1.56,29.66,147.99,10
2025-09-17 07:00:00,85.0,1008.5,25.5,228.5,1.57,50.0,99.0,2.42,25.52,65.0,9.965,0.975,6.93,331.31,28.58,959.0,77.5,0.3,8.29,1009.0,308.575,1009.0,27.07,27.07,27.07,4.73,227.5,2.305,1.6,29.74,144.75,11
2025-09-17 08:00:00,81.0,1009.0,26.0,228.0,1.78,50.0,99.0,2.48,25.51,57.0,9.96,0.99,6.89,331.96,30.85,959.0,74.0,0.3,8.31,1009.0,308.58,1009.0,27.83,27.83,27.83,4.65,228.0,2.36,1.64,29.82,141.51,12
2025-09-17 09:00:00,74.0,1009.0,27.0,231.0,1.84,58.0,116.0,2.45,25.65,48.0,9.8,0.96,6.95,337.85,32.85,959.0,68.0,0.3,8.2,1009.0,308.57,1009.0,29.23,29.23,29.23,4.79,248.0,2.37,1.83,30.4,145.93,13
2025-09-17 10:00:00,68.0,1009.0,29.0,248.0,1.91,58.0,116.0,2.42,25.11,42.0,9.84,0.97,6.88,334.51,34.64,959.0,63.0,0.3,8.14,1009.0,308.55,1009.0,30.56,30.56,30.56,4.83,232.0,2.13,1.71,30.51,149.99,14
2025-09-17 11:00:00,60.0,1008.0,31.0,237.0,2.29,53.0,105.0,2.27,25.33,54.0,9.86,0.99,6.87,333.63,35.13,956.0,62.0,0.3,8.19,1006.0,308.56,1006.0,30.9,30.9,30.9,4.86,249.0,2.5,1.99,30.62,147.53,15
2025-09-17 12:00:00,62.0,1006.0,30.0,244.0,1.95,53.0,105.0,2.31,25.7,55.0,9.97,0.95,6.92,339.77,35.14,956.0,61.0,0.3,8.23,1005.0,308.58,1005.0,31.02,31.02,31.02,4.9,244.0,1.84,1.0,30.74,145.75,16
2025-09-17 13:00:00,61.5,1005.5,30.5,238.5,1.495,53.0,105.0,2.365,25.49,57.5,9.915,0.96,6.955,338.76,35.06,955.5,61.5,0.3,8.175,1005.0,308.58,1005.0,30.925,30.925,30.925,4.875,223.0,1.835,1.11,30.76,146.805,17
2025-09-17 14:00:00,61.0,1005.0,31.0,233.0,1.04,53.0,105.0,2.42,25.27,60.0,9.86,0.97,6.99,337.75,34.98,955.0,62.0,0.3,8.12,1005.0,308.58,1005.0,30.83,30.83,30.83,4.85,202.0,1.83,1.22,30.78,147.86,18
2025-09-17 15:00:00,63.0,1005.0,30.0,200.0,1.28,49.0,98.0,2.2,25.1,63.0,9.72,0.98,6.95,330.56,34.79,955.0,64.0,0.3,8.23,1005.0,308.57,1005.0,30.52,30.52,30.52,4.89,187.0,1.98,1.57,30.82,141.51,19
2025-09-17 16:00:00,65.0,1005.0,30.0,190.0,1.54,49.0,98.0,2.26,25.45,67.0,9.78,0.99,6.94,335.31,34.61,955.0,69.0,0.3,8.15,1004.0,308.56,1004.0,29.92,29.92,29.92,4.75,164.0,1.51,1.44,30.25,146.89,20
2025-09-17 17:00:00,69.0,1005.0,29.0,169.0,1.4,49.0,98.0,2.33,25.38,61.0,9.76,0.97,6.93,339.96,32.19,955.0,77.0,0.3,8.26,1005.0,308.55,1005.0,28.23,28.23,28.23,4.68,152.0,2.11,2.25,30.33,145.36,21
2025-09-17 18:00:00,83.0,1006.0,26.0,172.0,2.07,50.0,99.0,2.27,25.41,98.0,9.97,0.96,6.97,334.86,26.2,957.0,84.0,0.3,8.2,1007.0,308.57,1007.0,26.2,26.2,26.2,4.76,183.0,2.18,1.82,30.41,149.75,22
2025-09-17 19:00:00,85.0,1007.0,26.0,191.0,1.95,50.0,99.0,2.21,25.36,99.0,9.99,0.98,6.99,336.44,26.05,958.0,85.0,0.3,8.27,1008.0,308.56,1008.0,26.05,26.05,26.05,4.7,198.0,1.88,1.49,30.39,142.02,23
2025-09-17 20:00:00,86.0,1008.0,26.0,206.0,1.66,53.0,105.0,2.42,25.45,99.0,9.99,0.98,6.87,333.73,26.7,958.0,85.0,0.3,8.24,1008.0,308.57,1008.0,25.84,25.84,25.84,4.81,210.0,1.79,1.65,30.72,141.47,24
2025-09-17 21:00:00,86.0,1008.0,25.0,213.0,1.82,53.0,105.0,2.33,25.38,99.0,9.96,0.96,6.95,334.96,26.53,958.0,86.0,0.3,8.17,1008.0,308.55,1008.0,25.66,25.66,25.66,4.75,216.0,1.9,1.65,30.51,143.12,25
2025-09-17 22:00:00,86.0,1008.0,25.0,218.0,1.9,53.0,105.0,2.37,25.64,100.0,9.97,0.97,6.96,331.45,26.33,957.0,86.0,0.3,8.1,1007.0,308.57,1007.0,25.48,25.48,25.48,4.52,232.0,1.84,1.35,30.6,147.69,26
2025-09-17 23:00:00,87.0,1008.0,25.0,229.0,1.57,54.0,108.0,2.41,25.89,97.0,9.86,0.99,6.94,339.7,25.97,957.0,88.0,0.3,8.21,1007.0,308.55,1007.0,25.11,25.11,25.11,4.9,225.0,2.08,1.48,29.96,142.53,27
2025-09-18 00:00:00,89.0,1007.0,25.0,225.0,1.66,54.0,108.0,2.41,25.39,99.0,9.81,0.97,6.96,338.97,25.91,956.0,89.0,0.3,8.1,1006.0,308.57,1006.0,25.03,25.03,25.03,4.78,239.0,1.76,1.33,29.96,142.04,28
2025-09-18 01:00:00,89.0,1006.0,25.0,237.0,1.54,54.0,108.0,2.45,25.34,98.0,9.78,0.99,6.85,333.41,25.63,956.0,89.0,0.3,8.16,1006.0,308.55,1006.0,24.77,24.77,24.77,4.77,244.0,1.76,1.29,29.89,149.38,29
2025-09-18 02:00:00,90.0,1006.0,24.0,241.0,1.49,54.0,107.0,2.43,25.36,94.0,9.86,0.96,6.89,337.32,25.45,956.0,90.0,0.3,8.13,1006.0,308.57,1006.0,24.59,24.59,24.59,4.68,225.0,1.32,1.12,29.81,144.78,30
2025-09-18 03:00:00,90.0,1006.0,24.0,226.0,1.35,54.0,107.0,2.36,25.52,92.0,9.8,0.98,6.86,331.27,25.32,956.0,90.0,0.3,8.24,1006.0,308.58,1006.0,24.47,24.47,24.47,4.56,239.0,1.74,1.35,29.8,146.12,31
2025-09-18 04:00:00,90.0,1007.0,24.0,238.0,1.55,54.0,107.0,2.41,25.17,89.0,9.96,0.99,6.97,338.76,25.12,957.0,91.0,0.3,8.28,1007.0,308.56,1007.0,24.26,24.26,24.26,4.63,243.0,1.7,1.31,29.78,140.99,32
2025-09-18 05:00:00,91.0,1007.0,24.0,240.0,1.49,54.0,107.0,2.45,25.69,99.0,9.98,0.96,6.94,339.16,26.09,958.0,89.0,0.3,8.2,1008.0,308.55,1008.0,25.19,25.19,25.19,4.76,250.0,2.1,1.14,29.73,147.36,33
2025-09-18 06:00:00,90.0,1007.5,24.5,242.5,1.385,54.0,107.0,2.425,25.7,99.0,9.915,0.975,6.915,337.86,26.395,958.0,87.0,0.3,8.215,1008.0,308.555,1008.0,25.515,25.515,25.515,4.775,247.5,2.155,1.22,29.795,146.555,34
2025-09-18 07:00:00,89.0,1008.0,25.0,245.0,1.28,54.0,107.0,2.4,25.7,99.0,9.85,0.99,6.89,336.56,26.7,958.0,85.0,0.3,8.23,1008.0,308.56,1008.0,25.84,25.84,25.84,4.79,245.0,2.21,1.3,29.86,145.75,35
2025-09-18 08:00:00,85.0,1008.0,25.0,244.0,1.47,54.0,107.0,2.47,25.52,99.0,9.9,0.98,6.88,334.97,29.43,959.0,81.0,0.3,8.31,1009.0,308.58,1009.0,26.82,26.82,26.82,4.66,254.0,2.72,1.81,29.81,140.52,36
2025-09-18 09:00:00,80.0,1009.0,27.0,253.0,2.03,55.0,110.0,2.46,25.66,90.0,9.91,0.97,6.96,338.86,32.07,958.0,74.0,0.3,8.2,1009.0,308.57,1009.0,28.39,28.39,28.39,4.8,263.0,2.58,2.03,30.39,143.46,37
2025-09-18 10:00:00,73.0,1009.0,28.0,263.0,2.24,55.0,110.0,2.43,25.12,77.0,9.85,0.96,6.87,331.52,34.63,958.0,70.0,0.3,8.14,1008.0,308.55,1008.0,29.83,29.83,29.83,4.84,284.0,2.52,2.12,30.5,146.86,38
2025-09-18 11:00:00,69.0,1008.0,30.0,281.0,2.31,55.0,110.0,2.28,25.34,71.0,9.87,0.98,6.85,334.64,35.64,957.0,67.0,0.3,8.19,1007.0,308.56,1007.0,30.56,30.56,30.56,4.85,306.0,2.34,2.08,30.61,148.52,39
2025-09-18 12:00:00,67.0,1007.0,30.0,297.0,1.83,54.0,107.0,2.23,25.69,100.0,9.96,0.96,6.9,338.76,35.23,956.0,67.0,0.3,8.23,1006.0,308.58,1006.0,30.39,30.39,30.39,4.89,307.0,2.16,1.83,30.73,141.79,40
2025-09-18 13:00:00,67.0,1006.0,30.0,307.0,1.93,54.0,107.0,2.38,25.12,100.0,9.81,0.98,6.99,334.76,35.38,955.0,65.0,0.3,8.27,1005.0,308.56,1005.0,30.67,30.67,30.67,4.97,320.0,1.82,1.53,30.85,145.36,41
2025-09-18 14:00:00,65.0,1005.0,30.0,319.0,1.57,54.0,107.0,2.34,25.28,100.0,9.85,0.97,6.98,338.15,34.85,955.0,66.0,0.3,8.13,1004.0,308.58,1004.0,30.33,30.33,30.33,4.88,334.0,1.28,1.27,30.79,148.1,42
2025-09-18 15:00:00,70.0,1004.0,29.0,308.0,0.8,49.0,98.0,2.21,25.11,100.0,9.7,0.99,6.96,331.96,33.79,955.0,77.0,0.3,8.24,1005.0,308.57,1005.0,28.88,28.88,28.88,4.9,276.0,0.68,0.81,30.81,140.08,43
2025-09-18 16:00:00,77.0,1005.0,29.0,279.0,0.75,49.0,98.0,2.27,25.46,100.0,9.79,0.98,6.93,336.87,30.96,955.0,80.0,0.3,8.16,1005.0,308.56,1005.0,27.53,27.53,27.53,4.76,227.0,0.61,0.77,30.24,147.15,44
2025-09-18 17:00:00,80.0,1005.0,27.0,328.0,0.47,50.0,99.0,2.34,25.39,100.0,9.77,0.99,6.92,333.36,26.57,956.0,83.0,0.3,8.27,1006.0,308.55,1006.0,26.57,26.57,26.57,4.67,245.0,0.49,0.42,30.31,141.63,45
2025-09-18 18:00:00,82.0,1006.0,27.0,229.0,0.4,50.0,99.0,2.28,25.4,100.0,9.98,0.97,6.98,330.78,26.27,957.0,84.0,0.3,8.21,1007.0,308.57,1007.0,26.27,26.27,26.27,4.75,216.0,0.51,0.46,30.4,143.83,46
2025-09-18 19:00:00,84.0,1007.0,26.0,206.0,0.58,50.0,99.0,2.2,25.35,100.0,9.96,0.96,6.96,335.15,26.08,958.0,85.0,0.3,8.2,1008.0,308.56,1008.0,26.08,26.08,26.08,4.69,189.0,0.35,0.4,30.38,140.32,47
2025-09-18 20:00:00,85.0,1008.0,26.0,193.0,0.53,54.0,108.0,2.43,25.46,96.0,9.98,0.99,6.86,337.78,26.65,958.0,86.0,0.3,8.24,1008.0,308.57,1008.0,25.77,25.77,25.77,4.8,199.0,0.74,0.78,30.73,141.46,48
2025-09-18 21:00:00,87.0,1008.0,25.0,204.0,0.92,54.0,108.0,2.34,25.37,90.0,9.97,0.97,6.96,331.31,26.36,958.0,87.0,0.3,8.16,1008.0,308.55,1008.0,25.48,25.48,25.48,4.76,202.0,0.95,0.98,30.52,442.13,49
2025-09-18 22:00:00,88.0,1008.0,25.0,207.0,1.16,54.0,108.0,2.38,25.63,98.0,9.99,0.98,6.93,336.86,26.18,958.0,88.0,0.3,8.11,1008.0,308.57,1008.0,25.3,25.3,25.3,4.53,221.0,0.82,0.79,30.61,145.6,50
2025-09-18 23:00:00,89.0,1008.0,25.0,222.0,1.02,59.0,117.0,2.42,25.9,100.0,9.85,0.96,6.97,335.45,25.99,957.0,89.0,0.3,8.2,1008.0,308.55,1008.0,25.1,25.1,25.1,4.89,247.0,0.74,0.71,29.95,143.75,51
2025-09-19 00:00:00,89.0,1008.0,25.0,242.0,0.95,59.0,117.0,2.48,25.75,100.0,9.86,0.97,6.9,336.99,25.69,957.0,89.0,0.3,8.16,1007.0,308.57,1007.0,24.83,24.83,24.83,4.7,267.0,0.76,0.7,29.96,146.09,52
2025-09-19 01:00:00,90.0,1007.0,24.0,259.0,0.93,59.0,117.0,2.42,25.33,100.0,9.71,0.99,6.87,333.85,25.6,957.0,90.0,0.3,8.12,1007.0,308.55,1007.0,24.72,24.72,24.72,4.75,254.0,0.47,0.51,29.86,144.24,53
2025-09-19 02:00:00,90.0,1007.0,24.0,251.0,0.74,59.0,118.0,2.46,25.78,100.0,9.86,0.96,6.82,333.56,25.49,957.0,91.0,0.3,8.18,1007.0,308.57,1007.0,24.6,24.6,24.6,4.64,271.0,0.8,0.9,29.84,145.68,54
2025-09-19 03:00:00,90.5,1007.0,24.0,259.0,0.91,59.0,118.0,2.475,25.46,100.0,9.925,0.975,6.87,334.14,25.385,957.0,91.0,0.3,8.2,1007.0,308.565,1007.0,24.505,24.505,24.505,4.66,279.5,0.92,0.975,29.8,145.395,55
2025-09-19 04:00:00,91.0,1007.0,24.0,267.0,1.08,59.0,118.0,2.49,25.14,100.0,9.99,0.99,6.92,334.72,25.28,957.0,91.0,0.3,8.22,1007.0,308.56,1007.0,24.41,24.41,24.41,4.68,288.0,1.04,1.05,29.76,145.11,56
2025-09-19 05:00:00,91.0,1008.0,24.0,292.0,1.34,65.0,130.0,2.42,25.6,46.0,9.92,0.96,6.91,332.57,26.14,958.0,88.0,0.3,8.29,1008.0,308.55,1008.0,25.26,25.26,25.26,4.72,272.0,1.24,0.97,29.71,144.57,57
